temperature_keV,density_requested_g_cm3,density_used_g_cm3
0.001,231.01,210.79
0.001,271.86,210.79
0.001,319.93,210.79
0.001,376.49,210.79
0.001,443.06,210.79
0.001,521.4,210.79
0.001,613.59,210.79
0.001,722.08,210.79
0.001,849.75,210.79
0.001,1000,210.79
0.00125,319.93,294.58
0.00125,376.49,294.58
0.00125,443.06,294.58
0.00125,521.4,294.58
0.00125,613.59,294.58
0.00125,722.08,294.58
0.00125,849.75,294.58
0.00125,1000,294.58
0.0015,443.06,387.24
0.0015,521.4,387.24
0.0015,613.59,387.24
0.0015,722.08,387.24
0.0015,849.75,387.24
0.0015,1000,387.24
0.002,613.59,596.2
0.002,722.08,596.2
0.002,849.75,596.2
0.002,1000,596.2
0.0025,849.75,833.21
0.0025,1000,833.21
