temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.001,0.0001,0.0001,false,442.14,83234,0.014744,0.014744
0.001,0.00011768,0.00011768,false,461.31,83297,0.014365,0.014365
0.001,0.00013849,0.00013849,false,483.57,83370,0.013921,0.013921
0.001,0.00016298,0.00016298,false,509.41,83457,0.013397,0.013397
0.001,0.00019179,0.00019179,false,539.44,83558,0.012781,0.012781
0.001,0.0002257,0.0002257,false,574.34,83678,0.012056,0.012056
0.001,0.00026561,0.00026561,false,614.95,83819,0.011202,0.011202
0.001,0.00031257,0.00031257,false,662.22,83985,0.010198,0.010198
0.001,0.00036784,0.00036784,false,717.3,84180,0.0090163,0.0090163
0.001,0.00043288,0.00043288,false,781.49,84410,0.0076256,0.0076256
0.001,0.00050941,0.00050941,false,851.84,84641,0.0061675,0.0061675
0.001,0.00059948,0.00059948,false,893.74,84548,0.006049,0.006049
0.001,0.00070548,0.00070548,false,942.5,84439,0.0059094,0.0059094
0.001,0.00083022,0.00083022,false,999.3,84310,0.0057452,0.0057452
0.001,0.00097701,0.00097701,false,1065.5,84159,0.005552,0.005552
0.001,0.0011498,0.0011498,false,1142.7,83981,0.0053246,0.0053246
0.001,0.001353,0.001353,false,1232.8,83771,0.005057,0.005057
0.001,0.0015923,0.0015923,false,1338.1,83525,0.0047421,0.0047421
0.001,0.0018738,0.0018738,false,1461.1,83235,0.0043714,0.0043714
0.001,0.0022051,0.0022051,false,1605.1,82894,0.0039353,0.0039353
0.001,0.002595,0.002595,false,1773.6,82493,0.0034221,0.0034221
0.001,0.0030539,0.0030539,false,1970.9,82022,0.002818,0.002818
0.001,0.0035938,0.0035938,false,2112.6,81292,0.002593,0.002593
0.001,0.0042292,0.0042292,false,2241.1,80357,0.0025347,0.0025347
0.001,0.004977,0.004977,false,2392.1,79257,0.0024661,0.0024661
0.001,0.005857,0.005857,false,2569.6,77964,0.0023854,0.0023854
0.001,0.0068926,0.0068926,false,2778.2,76441,0.0022905,0.0022905
0.001,0.0081113,0.0081113,false,3023.4,74648,0.0021787,0.0021787
0.001,0.0095455,0.0095455,false,3311.6,72539,0.0020472,0.0020472
0.001,0.011233,0.011233,false,3650.4,70057,0.0018925,0.0018925
0.001,0.013219,0.013219,false,4048.6,67138,0.0017103,0.0017103
0.001,0.015557,0.015557,false,4516.7,63703,0.001496,0.001496
0.001,0.018307,0.018307,false,5028.3,59869,0.0012591,0.0012591
0.001,0.021544,0.021544,false,4987.7,58765,0.0012342,0.0012342
0.001,0.025354,0.025354,false,4939.1,57467,0.001205,0.001205
0.001,0.029836,0.029836,false,4880.6,55937,0.0011706,0.0011706
0.001,0.035112,0.035112,false,4809.9,54140,0.0011301,0.0011301
0.001,0.04132,0.04132,false,4724.2,52022,0.0010824,0.0010824
0.001,0.048626,0.048626,false,4619.4,49533,0.0010264,0.0010264
0.001,0.057224,0.057224,false,4490.2,46599,0.00096038,0.00096038
0.001,0.067342,0.067342,false,4328.5,43152,0.00088272,0.00088272
0.001,0.079248,0.079248,false,4120.9,39099,0.00079133,0.00079133
0.001,0.09326,0.09326,false,3840.1,34335,0.00068378,0.00068378
0.001,0.10975,0.10975,false,3633.8,30414,0.0005958,0.0005958
