temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,photon_energy_keV,rosseland_multigroup_cm2_g,planck_multigroup_cm2_g
0.001,0.0001,0.0001,false,0.001,1206,1238.3
0.001,0.0001,0.0001,false,0.0014831,1041.4,3656.4
0.001,0.0001,0.0001,false,0.0021995,999.27,1193.3
0.001,0.0001,0.0001,false,0.003262,540.69,586.95
0.001,0.0001,0.0001,false,0.0048377,261.42,275.83
0.001,0.0001,0.0001,false,0.0071746,358.65,1236900
0.001,0.0001,0.0001,false,0.01064,67860,985730
0.001,0.0001,0.0001,false,0.01578,803620,840070
0.001,0.0001,0.0001,false,0.023403,293790,300140
0.001,0.0001,0.0001,false,0.034709,99315,100290
0.001,0.0001,0.0001,false,0.051475,32676,32853
0.001,0.0001,0.0001,false,0.076341,10151,10171
0.001,0.0001,0.0001,false,0.11322,3021.9,3024.7
0.001,0.0001,0.0001,false,0.16791,900.74,901.17
0.001,0.0001,0.0001,false,0.24902,259.61,259.51
0.001,0.0001,0.0001,false,0.36932,71.754,71.6
0.001,0.0001,0.0001,false,0.54772,19.854,19.695
0.001,0.0001,0.0001,false,0.81231,5.6655,5.5061
0.001,0.0001,0.0001,false,1.2047,1.4889,1.3298
0.001,0.0001,0.0001,false,1.7867,0.53339,0.37484
0.001,0.0001,0.0001,false,2.6497,0.25498,0.097278
0.001,0.0001,0.0001,false,3.9297,0.18171,0.025237
0.001,0.0001,0.0001,false,5.828,0.16123,0.0065446
0.001,0.0001,0.0001,false,8.6433,0.1538,0.0016986
0.001,0.0001,0.0001,false,12.819,0.14888,0.00044068
0.001,0.0001,0.0001,false,19.011,0.14345,0.00011433
0.001,0.0001,0.0001,false,28.194,0.13644,0.000029667
0.001,0.0001,0.0001,false,41.814,0.12792,0.0000077986
0.001,0.0001,0.0001,false,62.013,0.11661,0.0000020102
0.001,0.0001,0.0001,false,91.969,0.10311,5.2203e-7
0.001,0.0001,0.0001,false,136.4,0.087991,1.3764e-7
0.001,0.0001,0.0001,false,202.28,0.072277,3.7351e-8
0.001,0.00011768,0.00011768,false,0.001,1248.8,1280.7
0.001,0.00011768,0.00011768,false,0.0014831,1097.4,3681.1
0.001,0.00011768,0.00011768,false,0.0021995,1036.5,1220.2
0.001,0.00011768,0.00011768,false,0.003262,555.89,602.63
0.001,0.00011768,0.00011768,false,0.0048377,272.15,286.37
